model,month,games_all,mse_all,games_shared_with_fide,mse_shared_with_fide,fide_official_mse_on_shared
provisional_without_entry_acceleration,2010-01,129027,0.15284674741017906,98157,0.1462446183867183,0.13953411914446878
provisional_without_entry_acceleration,2010-02,0,,0,,
provisional_without_entry_acceleration,2010-03,120543,0.15033189945648642,93770,0.14439088748953094,0.13844180215781
provisional_without_entry_acceleration,2010-04,0,,0,,
provisional_without_entry_acceleration,2010-05,199670,0.15001622273677245,158485,0.1449358663569878,0.13968666619760683
provisional_without_entry_acceleration,2010-06,0,,0,,
provisional_without_entry_acceleration,2010-07,159042,0.14994620293266026,124520,0.14403894674647533,0.1392908571539941
provisional_without_entry_acceleration,2010-08,0,,0,,
provisional_without_entry_acceleration,2010-09,195050,0.1483927978121106,147890,0.14002052314431118,0.13571324516676864
provisional_without_entry_acceleration,2010-10,0,,0,,
provisional_without_entry_acceleration,2010-11,140448,0.14587722007804088,109782,0.13894801948036017,0.1347141978585435
provisional_without_entry_acceleration,2010-12,0,,0,,
provisional_without_entry_acceleration,2011-01,145193,0.15089006358017593,109700,0.1430274359528889,0.13972153095692524
provisional_without_entry_acceleration,2011-02,0,,0,,
provisional_without_entry_acceleration,2011-03,132088,0.1498308417849338,99511,0.14195699157769376,0.13901446406464418
provisional_without_entry_acceleration,2011-04,0,,0,,
provisional_without_entry_acceleration,2011-05,223039,0.14974693166980468,178791,0.14480797662015252,0.14128042527243903
provisional_without_entry_acceleration,2011-06,0,,0,,
provisional_without_entry_acceleration,2011-07,176771,0.1487972257874859,132854,0.14156599395565972,0.13871616654654184
provisional_without_entry_acceleration,2011-08,0,,0,,
provisional_without_entry_acceleration,2011-09,224484,0.14587875804635783,172951,0.13799197727525125,0.1363402433763059
provisional_without_entry_acceleration,2011-10,0,,0,,
provisional_without_entry_acceleration,2011-11,161794,0.14805373258076646,123278,0.1395806912395526,0.13767324972062722
provisional_without_entry_acceleration,2011-12,0,,0,,
provisional_without_entry_acceleration,2012-01,164518,0.1513963557789362,122749,0.14369613755292635,0.14188899280634668
provisional_without_entry_acceleration,2012-02,0,,0,,
provisional_without_entry_acceleration,2012-03,140138,0.1480216145795934,105841,0.14023491801000443,0.13903934561748874
provisional_without_entry_acceleration,2012-04,0,,0,,
provisional_without_entry_acceleration,2012-05,259245,0.14948904368656724,200618,0.14282185031420344,0.14118119535100415
provisional_without_entry_acceleration,2012-06,0,,0,,
provisional_without_entry_acceleration,2012-07,196973,0.1469964623327138,150058,0.14012422537379443,0.1391799920494064
provisional_without_entry_acceleration,2012-08,102757,0.14568803243505168,80200,0.13836519062748076,0.13820478774648162
provisional_without_entry_acceleration,2012-09,130159,0.14604127650250429,102300,0.13973549614296915,0.13901320342270362
provisional_without_entry_acceleration,2012-10,77341,0.14402342128298992,61915,0.13808862264395,0.13801826261835118
provisional_without_entry_acceleration,2012-11,77002,0.14685898392817703,59606,0.1395043662831545,0.1349325056168898
provisional_without_entry_acceleration,2012-12,86451,0.14803651855332758,65482,0.14108042044471936,0.1397145225049369
provisional_without_entry_acceleration,2013-01,80760,0.14946350448399845,63960,0.14324932744150154,0.14187160749925978
provisional_without_entry_acceleration,2013-02,93367,0.14901713551092466,71354,0.14167055504407206,0.14106790244226441
provisional_without_entry_acceleration,2013-03,79090,0.15382147651676847,57496,0.14650944175678407,0.14463920306920244
provisional_without_entry_acceleration,2013-04,114967,0.15059643505865491,88831,0.14441756446616574,0.14274204141553173
provisional_without_entry_acceleration,2013-05,142160,0.14906721516625018,111877,0.14385254278387202,0.14275613557467082
provisional_without_entry_acceleration,2013-06,135294,0.148224845616847,103699,0.14182863764453812,0.14104759241351278
provisional_without_entry_acceleration,2013-07,81625,0.14547364914542077,62282,0.1395372876331547,0.13854468283755306
provisional_without_entry_acceleration,2013-08,122736,0.14608688774111056,95291,0.13976376584123953,0.13992060789383104
provisional_without_entry_acceleration,2013-09,115276,0.14288621345824906,92932,0.13840005509495554,0.13816549139479253
provisional_without_entry_acceleration,2013-10,97687,0.1444537650326126,75665,0.1380160316350495,0.13937549825209636
provisional_without_entry_acceleration,2013-11,95769,0.1478103727703938,73887,0.14103809172445905,0.1394298478564762
provisional_without_entry_acceleration,2013-12,84857,0.14646455012537885,65445,0.13948831677907214,0.13880307904996353
provisional_without_entry_acceleration,2014-01,106181,0.15056279108715123,81289,0.14551585014291174,0.1460064473258296
provisional_without_entry_acceleration,2014-02,108120,0.14889540243149502,79651,0.14210754454454563,0.1430932326926938
provisional_without_entry_acceleration,2014-03,80830,0.14912466241163114,60179,0.1438440198144209,0.14316917976868246
provisional_without_entry_acceleration,2014-04,113306,0.14857818331883993,89232,0.14366501790344294,0.1441804468367671
provisional_without_entry_acceleration,2014-05,162815,0.14752234127352076,126191,0.14310138323722119,0.14265614762268508
provisional_without_entry_acceleration,2014-06,105949,0.14768282301165525,77629,0.14146721176825586,0.1419576478009314
provisional_without_entry_acceleration,2014-07,104568,0.14567256380717844,77884,0.14114320921865672,0.1410323395154555
provisional_without_entry_acceleration,2014-08,124004,0.14462811502545708,95737,0.1404065938025662,0.14282311855056548
provisional_without_entry_acceleration,2014-09,122451,0.14264836341342896,95259,0.13864817228693369,0.13991135775109212
provisional_without_entry_acceleration,2014-10,100479,0.1418355813402294,76267,0.13776516203893366,0.13806934959809425
provisional_without_entry_acceleration,2014-11,107622,0.14637763354677796,81645,0.14212260816844113,0.14154703103499125
provisional_without_entry_acceleration,2014-12,94431,0.14832366007200337,70550,0.14295937609202847,0.1413232080433178
provisional_without_entry_acceleration,2015-01,119188,0.14766815892428709,89310,0.1431448770722927,0.14301551463703546
provisional_without_entry_acceleration,2015-02,115470,0.14389889727009172,91069,0.14051577796181627,0.1408391753876161
provisional_without_entry_acceleration,2015-03,98328,0.1465570006311239,74441,0.14217971803615728,0.14294080489593167
provisional_without_entry_acceleration,2015-04,120313,0.1454019850338291,96431,0.1415547416670423,0.1411449748553981
provisional_without_entry_acceleration,2015-05,159203,0.14479804638785032,123999,0.14074919189806773,0.1410949021103982
provisional_without_entry_acceleration,2015-06,133429,0.14442075798660714,100399,0.13993536484199287,0.1410344339458968
provisional_without_entry_acceleration,2015-07,106171,0.1438475020172423,81232,0.1395246748789651,0.14068374643292697
provisional_without_entry_acceleration,2015-08,137771,0.14125600215184234,108745,0.1377723921984653,0.14040461511111746
provisional_without_entry_acceleration,2015-09,154547,0.14031744569172946,125379,0.13640176566992532,0.1390173806964231
provisional_without_entry_acceleration,2015-10,103432,0.1429495206322322,81712,0.13834195243190953,0.139442672554209
provisional_without_entry_acceleration,2015-11,118017,0.14196806454519156,93670,0.1377198910702076,0.13782485450295093
provisional_without_entry_acceleration,2015-12,120452,0.14565422907034073,96094,0.14160400486204894,0.14334223570105317
provisional_without_entry_acceleration,2016-01,142820,0.1487784132854893,111822,0.14386379821856526,0.14617404210702173
provisional_without_entry_acceleration,2016-02,131816,0.14453086182254452,103358,0.13997159965812633,0.14149156769821652
provisional_without_entry_acceleration,2016-03,132128,0.14666333167048573,106823,0.14238022528488886,0.14364726774250317
provisional_without_entry_acceleration,2016-04,155437,0.14614946864170367,124640,0.1427729082098261,0.14377650175885232
provisional_without_entry_acceleration,2016-05,137093,0.14503018619090402,111315,0.14148956536988208,0.1428058053019569
provisional_without_entry_acceleration,2016-06,142698,0.14457546397241927,110644,0.13932474560378427,0.14126813853236594
provisional_without_entry_acceleration,2016-07,109570,0.1453322809672942,87396,0.14101036842282955,0.14293209434493165
provisional_without_entry_acceleration,2016-08,156349,0.14281847976631085,125466,0.13841644417987567,0.14106828550107872
provisional_without_entry_acceleration,2016-09,170541,0.14063155704850816,141565,0.1371470585678925,0.14154906017596586
provisional_without_entry_acceleration,2016-10,102692,0.14341115044995154,81888,0.13854656782369437,0.14190715383649383
provisional_without_entry_acceleration,2016-11,130785,0.14320762861511527,106284,0.13850996844366237,0.14085633062498779
provisional_without_entry_acceleration,2016-12,141489,0.14519060899606917,116345,0.14205110666117748,0.1436400786611406
provisional_without_entry_acceleration,2017-01,155897,0.14860138418793903,123531,0.14383101204512333,0.14670666475019908
provisional_without_entry_acceleration,2017-02,150759,0.14342385637968952,121558,0.13916275647099735,0.14262319169159204
provisional_without_entry_acceleration,2017-03,117131,0.14737498234129084,96153,0.14279540539626975,0.1454640615563146
provisional_without_entry_acceleration,2017-04,148123,0.1487788852669627,121788,0.14516660741358658,0.14660659289062322
provisional_without_entry_acceleration,2017-05,168769,0.14341338387023764,138400,0.13915802988155054,0.1414714100110548
provisional_without_entry_acceleration,2017-06,143535,0.14314314843320328,115773,0.1396358086546079,0.14381991804577768
provisional_without_entry_acceleration,2017-07,130033,0.1436528592789991,104188,0.13997645973169337,0.1447036230325956
provisional_without_entry_acceleration,2017-08,171045,0.14233247077900016,139774,0.1382978792784651,0.14385007764281413
provisional_without_entry_acceleration,2017-09,166013,0.13939414138581682,138049,0.13599420178841534,0.14127705307757643
provisional_without_entry_acceleration,2017-10,114268,0.14185346865105253,93445,0.1376188375108657,0.1430673773604005
provisional_without_entry_acceleration,2017-11,124767,0.14048808071158692,101873,0.13653859450819425,0.1397531099635756
provisional_without_entry_acceleration,2017-12,152995,0.14594246439556388,126971,0.14254083789310845,0.14593946554204865
provisional_without_entry_acceleration,2018-01,158039,0.14715508754586182,128128,0.1436176744800043,0.14795017354637724
provisional_without_entry_acceleration,2018-02,159448,0.1434661521955157,130833,0.14050484379033493,0.14516506605768278
provisional_without_entry_acceleration,2018-03,140200,0.1444079316702133,113958,0.13982743348624355,0.1438710706118439
provisional_without_entry_acceleration,2018-04,136794,0.14618076442092112,114566,0.14302788038022146,0.14638299361794493
provisional_without_entry_acceleration,2018-05,175647,0.1444863266252965,142890,0.14052454430007574,0.14478892880618174
provisional_without_entry_acceleration,2018-06,155857,0.14245743200522346,124913,0.13893051117263389,0.14461917809477368
provisional_without_entry_acceleration,2018-07,127445,0.14612447560672517,101253,0.1429447154739002,0.14776779749934635
provisional_without_entry_acceleration,2018-08,183183,0.1415608914502795,151293,0.1379299813660312,0.14505380291679337
provisional_without_entry_acceleration,2018-09,163513,0.14033364488656802,134001,0.13672177749172854,0.1438768147320056
provisional_without_entry_acceleration,2018-10,99339,0.14180679928215428,81172,0.1380338857703783,0.14439505080350473
provisional_without_entry_acceleration,2018-11,132573,0.14125946612611603,110473,0.1383767912503042,0.1435403399992663
provisional_without_entry_acceleration,2018-12,160329,0.14630866679422372,132013,0.14285539943167613,0.1486459346962695
provisional_without_entry_acceleration,2019-01,151587,0.1454939790421333,123867,0.14234940161233828,0.14846589402257646
provisional_without_entry_acceleration,2019-02,166560,0.1434394067314409,136179,0.1401314313289774,0.14674861876527814
provisional_without_entry_acceleration,2019-03,123549,0.1430765364851108,102775,0.13968180390337057,0.1457772082195778
