pool_a,pool_b,offset_a_vs_b
15,29,2.595468813313694
15,30,7.512238696094665
15,31,-55.03753402629117
15,32,2.3054301094078697
15,33,6.716465781108986
15,34,10.16061577799192
15,35,-4.264474684536952
15,36,16.91640095900418
15,37,14.507084704261898
15,38,-9.061656867052509
15,39,8.251877907094508
15,40,4.919692572383415
15,41,11.543009308218364
15,42,0.10908263185084097
15,43,5.325238793504288
15,44,6.3010925935177715
15,45,2.6729159754940617
15,46,5.037376050651255
15,47,11.049280716038426
15,48,3.9031285218324863
15,49,1.7137163026052207
15,50,-0.15604238385181082
15,51,-9.258306187829188
15,52,-0.516483198637898
15,53,-0.5303729025687243
15,54,-0.2936973491274882
15,55,1.0617958916742627
15,56,0.5503514542434113
16,17,-27.1808588007642
16,18,2.7858375134433584
16,19,-2.65977677122282
16,20,6.835719743366072
16,21,-7.34681367537963
16,22,1.226968561374461
16,23,-2.97112252786044
16,24,7.429769394298318
16,25,1.255053596381548
16,26,5.014960560564781
16,27,-11.505693191552067
16,28,-2.885975722583682
16,29,3.0696797271507963
16,30,-0.6706220223801082
16,31,-3.8002610639698142
16,32,0.9703356117580787
16,33,-1.3843173394619386
16,34,0.13429090534984264
16,35,2.8370294345878277
16,36,0.6590174593209791
16,37,0.1827668163387534
16,38,-5.657914587352861
16,39,1.8763465236636792
16,40,-2.8046368158387107
16,41,-0.06714349836912611
16,42,-0.9554882932243682
16,43,2.814190176920302
16,44,-0.5661730422527659
16,45,-4.045948445176223
16,46,2.131825307313838
16,47,-0.6657622086918782
16,48,-0.526354275393116
16,49,-0.7260180965729048
16,50,0.06465946445488165
16,51,-0.04416531388077204
16,52,-0.8460168219324998
16,53,0.02882768872483525
16,54,0.0
16,55,0.0
16,56,0.0
17,18,5.345644625733817
17,19,3.442340955618983
17,20,2.03189808767887
17,21,9.497584045805407
17,22,-34.96960571452513
17,23,18.54346670626158
17,24,17.840929872705374
17,25,-0.050098780633253306
17,26,-6.715675137093202
